Serial number,Model,PCB #,Panel (A-B),Shell,Source,Date
C19479646,CGB-JPN-2,"04",5-1,🎀 SE Hello Kitty w/ bow pink,UK eBay,2025-01-23
C19486309,CGB-JPN-2,"04",1-2,SE Daiei Hawks translucent orange/black,JP eBay,2024-12-20
C19487048,Missing,"04",1-1,SE Daiei Hawks translucent orange/black,UK eBay,2025-12-01
C19487813,CGB-JPN-2,"04",1-1,SE Daiei Hawks translucent orange/black,JP eBay,2024-08-10
C19488816,Missing,?,?-?,🎀 SE Hello Kitty w/ bow pink,JP eBay,2024-11-27
C19489233,CGB-JPN-2,"04",?-?,🎀 SE Hello Kitty w/ bow pink,JP eBay,2024-05-30
C19490421,CGB-JPN-2,"04",1-2,🎀 SE Hello Kitty w/ bow pink,JP eBay,2025-05-24
C19490575,CGB-JPN-2,"04",10-1,🎀 SE Hello Kitty w/ bow pink,JP eBay,2024-08-11
C19490849,CGB-JPN-2,"04",4-1,🎀 SE Hello Kitty w/ bow pink,JP eBay,2024-07-11
C19491247,CGB-JPN-2,"04",1-2,🎀 SE Hello Kitty w/ bow pink,UK eBay,2022-06-28
C19493001,CGB-JPN-2,?,?-?,SE Ozzie! translucent green/yellow,AU eBay,2025-05-28
C19493212,CGB-JPN-2,"04",5-1,SE Ozzie! translucent green/yellow,AU eBay,2025-01-21
C19493223,CGB-JPN-2,?,?-?,SE Ozzie! translucent green/yellow,JP eBay,2024-08-04
C19496514,CGB-JPN-2,"04",6-1,SE Ozzie! translucent green/yellow,UK eBay,2024-07-15
C19497138,CGB-JPN-2,"04",3-2,SE Ozzie! translucent green/yellow,UK eBay,2024-07-28
C19497598,CGB-JPN-2,"04",6-1,SE Ozzie! translucent green/yellow,AU eBay,2024-11-26
C19499779,CGB-JPN-2,"04",1-2,SE Ozzie! translucent green/yellow,AU eBay,2025-01-17
C19506224,CGB-JPN-2,"04",1-2,🩵 Teal,JP eBay,2025-11-05
C19512969,CGB-JPN-2,"04",3-1,SE Ozzie! translucent green/yellow,AU eBay,2024-12-07
C19516508,CGB-JPN-2,"04",5-1,SE Ozzie! translucent green/yellow,AU eBay,2024-08-04
C19516806,CGB-JPN-2,"04",1-2,SE Ozzie! translucent green/yellow,AU eBay,2024-09-16
C19517792,CGB-JPN-2,"05",2-7,SE Ozzie! translucent green/yellow,AU eBay,2024-12-10
C19520995,CGB-JPN-2,"04",?-2,🎀 SE Hello Kitty w/ bow pink,JP eBay,2025-05-24
C19521045,CGB-JPN-2,"04",12-1,🎀 SE Hello Kitty w/ bow pink,JP eBay,2024-07-10
C19521355,CGB-JPN-2,"04",1-1,🎀 SE Hello Kitty w/ bow pink,JP J4U,2024-09-05
C19528704,CGB-JPN-2,"04",1-2,🎀 SE Hello Kitty w/ bow pink,JP eBay,2024-11-01
C19528990,Missing,?,?-?,🎀 SE Hello Kitty w/ bow pink,JP eBay,2024-08-28
C19529586,CGB-JPN-2,"04",1-1,🎀 SE Hello Kitty w/ bow pink,US YouTube,2024-07-10
C19529771,CGB-JPN-2,"04",1-1,🎀 SE Hello Kitty w/ bow pink,UK eBay,2025-05-28
C19529787,CGB-JPN-2,?,?-1,🎀 SE Hello Kitty w/ bow pink,US eBay,2024-12-23
C19530146,CGB-JPN-2,"04",1-1,🎀 SE Hello Kitty w/ bow pink,JP J4U,2024-09-05
C19530601,CGB-JPN-2,"04",1-1,🎀 SE Hello Kitty w/ bow pink,JP eBay,2024-07-10
C19531614,CGB-JPN-2,"04",?-?,SE Ozzie! translucent green/yellow,AU eBay,2024-11-17
C19535095,CGB-JPN-2,"04",1-2,SE Ozzie! translucent green/yellow,AU eBay,2025-01-05
C19537216,CGB-JPN-2,"04",1-1,SE Ozzie! translucent green/yellow,HK eBay,2024-08-04
C19538248,CGB-JPN-2,"04",10-2,SE Ozzie! translucent green/yellow,AU eBay,2025-01-04
C19539499,Missing,"04",1-1,SE Ozzie! translucent green/yellow,ID eBay,2024-08-30
C19540196,CGB-JPN-2,"04",1-2,SE Ozzie! translucent green/yellow,IT eBay,2025-11-06
C19545520,CGB-EUR,"04",6-?,💚 Kiwi,UK eBay,2024-11-10
C19556745,CGB-JPN-2,"04",6-1,🤍 Clear translucent,US eBay,2025-11-17
C19563680,CGB-JPN-2,"04",1-2,🤍 Clear translucent,JP eBay,2023-04-15
C19567004,CGB-JPN-2,"04",4-2,🤍 Clear translucent,JP eBay,2024-09-10
C19584456,CGB-JPN-2,"04",6-2,SE Jusco w/ Mario atomic purple,JP eBay,2024-09-04
C19584785,CGB-JPN-2,?,5-1,SE Jusco w/ Mario atomic purple,JP Sendico,2024-07-28
