Serial number,Model,PCB #,Panel (A-B),Shell,Source,Date
CG116524230,CGB-JPN-1,"03",1-2,🩵 Teal,US eBay,2025-10-28
CG117625776,CGB-JPN-1,"03",2-1,💛 Dandelion,US eBay,2024-08-28
CG117643206,CGB-JPN-1,"03",1-2,💛 Dandelion,US eBay,2025-11-20
CG117939705,CGB-JPN-1,"03",1-1,💛 Dandelion,US eBay,2025-01-28
CG118747613,CGB-JPN-1,"03",2-2,💚 Kiwi,US eBay,2025-11-18
CG118800592,CGB-JPN-1,"03",1-1,💚 Kiwi,US eBay,2025-10-24
CG119131510,CGB-JPN-1,"03",1-1,💚 Kiwi,US eBay,2025-11-29
CG120063176,CGB-JPN-1,"03",4-2,💛 Dandelion,US YouTube,2024-07-12
CG120246340,CGB-JPN-1,"03",1-1,💚 Kiwi,US eBay,2024-12-31
CG120563959,CGB-JPN-1,"03",1-1,💛 Dandelion,CA eBay,2025-11-22
CG120579615,CGB-JPN-1,"03",10-1,💛 Dandelion,US eBay,2024-11-10
CG120640797,CGB-JPN-1,"03",10-1,💚 Kiwi,CA eBay,2025-12-01
CG121513632,CGB-JPN-1,"03",1-2,🩵 Teal,US eBay,2024-11-24
CG121589293,CGB-JPN-1,"03",1-1,💛 Dandelion,US eBay,2025-05-29
CG121832658,CGB-JPN-1,"03",7-1,🩵 Teal,US eBay,2024-09-08
CG122349902,CGB-JPN-1,"03",1-2,💛 Dandelion,US eBay,2024-12-06
CG122732186,CGB-JPN-1,"03",8-2,💚 Kiwi,US eBay,2024-11-17
CG123449052,CGB-JPN-1,"03",1-2,💛 Dandelion,gbhwdb.gekkio.fi,2023-05-30
CG123683999,CGB-JPN-1,"03",1-2,💟 Atomic purple,US eBay,2024-11-15
CG123701099,CGB-JPN-1,"03",𝟝-1,💚 Kiwi,US eBay,2024-12-24
CG123766630,CGB-JPN-1,"03",𝟞-2,💚 Kiwi,US eBay,2025-11-20
CG123966290,CGB-JPN-1,"03",1-2,💚 Kiwi,US eBay,2024-08-31
CG124046403,CGB-JPN-1,"03",1-2,💛 Dandelion,US eBay,2025-11-22
CG124141047,CGB-JPN-1,"03",1-2,💛 Dandelion,US eBay,2025-06-04
CG124827149,CGB-JPN-1,"03",1-1,💚 Kiwi,US eBay,2025-11-30
CG126060643,CGB-JPN-1,"03",1-1,💟 Atomic purple,US eBay,2025-01-04
CG126257487,CGB-JPN-1,"03",1-2,💟 Atomic purple,CA eBay,2024-12-24
CG126494936,CGB-JPN-1,"03",4-1,🩵 Teal,US eBay,2025-11-06
CG126535301,CGB-JPN-1,"03",1-2,🩵 Teal,US eBay,2024-08-07
CG126616000,CGB-JPN-1,"03",1-2,🩵 Teal,US eBay,2025-11-22
CG127279129,CGB-JPN-1,?,1-1,SE Tommy Hilfiger yellow,US eBay,2024-08-04
CG127299578,CGB-JPN-1,"03",1-2,SE Tommy Hilfiger yellow,US eBay,2024-08-04
CG127467052,CGB-JPN-1,"03",1-2,💜 Grape,US eBay,2025-11-20
CG127568056,CGB-JPN-1,"03",1-1,💟 Atomic purple,US eBay,2024-12-24
CG127873402,CGB-JPN-1,"03",3-1,💜 Grape,US eBay,2025-01-09
CG128062645,CGB-JPN-1,"03",1-1,💟 Atomic purple,US eBay,2024-12-08
CG128094516,CGB-JPN-1,"03",1-2,💟 Atomic purple,US eBay,2024-08-30
CG128299836,CGB-JPN-1,"03",1-2,SE Tommy Hilfiger yellow,US eBay,2024-08-04
CG128311477,CGB-JPN-1,"03",1-1,SE Tommy Hilfiger yellow,US eBay,2024-09-08
CG128313273,CGB-JPN-1,"03",1-2,SE Tommy Hilfiger yellow,US eBay,2025-10-25
CG128363599,CGB-JPN-1,"03",1-1,SE Tommy Hilfiger yellow,US eBay,2025-10-17
CG128364558,CGB-JPN-1,"03",1-1,SE Tommy Hilfiger yellow,US eBay,2024-08-07
CG128376995,CGB-JPN-1,"03",1-2,SE Tommy Hilfiger yellow,US eBay,2025-11-06
CG128412105,CGB-JPN-1,"03",1-1,SE Tommy Hilfiger yellow,US eBay,2025-01-13
CG128415854,CGB-JPN-1,"03",1-1,SE Tommy Hilfiger yellow,US eBay,2024-08-30
CG128419142,CGB-JPN-1,"03",1-1,SE Tommy Hilfiger yellow,US eBay,2024-12-09
CG128674855,CGB-JPN-1,"03",1-1,💛 Dandelion,US eBay,2025-11-05
CG128942701,CGB-JPN-1,"03",1-1,💚 Kiwi,US eBay,2024-09-08
CG129206147,CGB-JPN-1,"03",1-2,💜 Grape,US eBay,2025-01-17
CG129595562,CGB-JPN-1,"03",1-2,💜 Grape,US eBay,2025-10-08
CG130209151,CGB-JPN-1,"03",1-2,💚 Kiwi,US eBay,2024-09-08
CG130392884,CGB-JPN-1,"03",1-2,💜 Grape,US eBay,2025-10-16
CG130443821,CGB-JPN-1,"03",1-2,💚 Kiwi,US eBay,2024-07-29
CG130663953,CGB-JPN-1,"03",1-1,SE Tommy Hilfiger yellow,UK eBay,2025-06-21
CG130667883,CGB-JPN-1,"05",2-7,SE Tommy Hilfiger yellow,US eBay,2024-08-23
CG130688932,CGB-JPN-1,"03",1-2,SE Tommy Hilfiger yellow,US eBay,2025-05-29
CG130725125,CGB-JPN-1,"03",1-1,SE Tommy Hilfiger yellow,UK eBay,2024-12-06
CG130756051,CGB-JPN-1,"03",1-1,SE Tommy Hilfiger yellow,US eBay,2024-08-04
CG130761086,CGB-JPN-1,"03",1-2,SE Tommy Hilfiger yellow,US eBay,2025-11-25
CG130787857,CGB-JPN-1,"03",1-2,💜 Grape,US eBay,2024-11-14
CG130845489,CGB-JPN-1,"03",1-1,💟 Atomic purple,US eBay,2024-12-07
CG131373899,CGB-JPN-1,"03",1-2,SE Tommy Hilfiger yellow,US eBay,2024-12-24
CG131396515,CGB-JPN-1,"03",1-2,SE Tommy Hilfiger yellow,AU eBay,2025-01-11
CG131418163,CGB-JPN-1,"03",?-?,SE Tommy Hilfiger yellow,US eBay,2024-12-05
CG131772395,CGB-JPN-1,"03",1-2,💚 Kiwi,US eBay,2025-11-28
CG131902273,CGB-JPN-1,"03",7-1,💛 Dandelion,US eBay,2024-09-12
CG131953749,CGB-JPN-1,"03",1-1,💛 Dandelion,UK eBay,2024-06-30
CG132122007,CGB-JPN-1,"03",2-2,💟 Atomic purple,US eBay,2025-06-06
CG132312750,CGB-JPN-1,"03",1-2,💜 Grape,US eBay,2025-12-01
CG132321288,CGB-JPN-1,"03",2-2,💜 Grape,US eBay,2024-08-12
CG132770819,CGB-JPN-1,"03",3-2,💚 Kiwi,US eBay,2025-11-16
CG133048368,CGB-JPN-1,"03",1-1,💚 Kiwi,US eBay,2024-08-16
CG133858271,CGB-JPN-1,"03",1-2,💛 Dandelion,CA eBay,2025-06-06
CG134080633,CGB-JPN-1,"03",1-2,💟 Atomic purple,US eBay,2025-06-04
CG134201137,CGB-JPN-1,"03",5-1,💛 Dandelion,US eBay,2024-08-27
CG135241040,CGB-JPN-1,"03",1-2,💚 Kiwi,US eBay,2025-11-19
CG135272839,CGB-JPN-1,"03",12-1,💚 Kiwi,US eBay,2025-05-30
CG135575183,CGB-JPN-1,"03",3-2,💚 Kiwi,US eBay,2025-11-25
CG135761401,CGB-JPN-1,"03",7-2,🩵 Teal,US eBay,2024-11-10
CG135862047,CGB-JPN-1,"03",4-2,💚 Kiwi,US eBay,2024-08-08
CG135987115,CGB-JPN-1,"03",1-1,💚 Kiwi,US eBay,2024-09-16
CG136126414,CGB-JPN-1,"03",2-2,💚 Kiwi,US eBay,2025-11-29
CG136504632,CGB-JPN-1,"03",9-1,💚 Kiwi,US eBay,2024-12-24
CG136690144,CGB-POB-JPN-1,"03",1-2,💙 SE Pokemon w/ Togepi yellow/blue 🥚,US eBay,2025-05-31
CG136737269,CGB-POB-JPN-1,"03",1-1,💙 SE Pokemon w/ Togepi yellow/blue 🥚,CA eBay,2024-11-15
CG136884338,CGB-POB-JPN-1,"03",1-2,💙 SE Pokemon w/ Togepi yellow/blue 🥚,US eBay,2025-01-04
CG136974619,CGB-POB-JPN-1,?,?-?,💙 SE Pokemon w/ Togepi yellow/blue 🥚,US eBay,2024-12-06
CG136979584,CGB-POB-JPN-1,"03",1-2,💙 SE Pokemon w/ Togepi yellow/blue 🥚,US eBay,2025-10-23
CG136993993,CGB-POB-JPN-1,?,?-?,💙 SE Pokemon w/ Togepi yellow/blue 🥚,US eBay,2024-10-26
CG137157479,CGB-POB-JPN-1,"03",?-?,💙 SE Pokemon w/ Togepi yellow/blue 🥚,CA eBay,2025-01-02
CG137175275,CGB-JPN-1,?,1-1,SE Tommy Hilfiger yellow,JP eBay,2024-08-04
CG137175985,CGB-JPN-1,"03",4-2,SE Tommy Hilfiger yellow,IL eBay,2025-05-28
CG137190209,CGB-JPN-1,?,6-2,SE Tommy Hilfiger yellow,US eBay,2024-08-04
